genes,name,ExonLength,chr,chr_start,chr_end,WT_1_log2(cpm),WT_2_log2(cpm),DKO_1_log2(cpm),DKO_2_log2(cpm),logFC_1*WT -1*DKO,logCPM_1*WT -1*DKO,LR_1*WT -1*DKO,PValue_1*WT -1*DKO,FDR_1*WT -1*DKO
Igkv9-120,immunoglobulin kappa chain variable 9-120,353,6,68049982,68050456,7.15,7.798,7.362,7.54,0.057,7.482,0.05,0.823709098,0.970413493
Lyrm2,LYR motif containing 2,1140,4,32800252,32801559,3.998,4.027,3.984,4.119,-0.041,4.036,0.05,0.82338152,0.970413493
Mrpl2,mitochondrial ribosomal protein L2,1170,17,46646228,46650139,4.632,4.53,4.683,4.382,0.042,4.563,0.05,0.823173922,0.970413493
Naa10,"N(alpha)-acetyltransferase 10, NatA catalytic subunit",4132,X,73916872,73921944,4.703,4.54,4.777,4.542,-0.04,4.646,0.05,0.823695318,0.970413493
Neurl4,neuralized E3 ubiquitin protein ligase 4,5889,11,69901071,69913820,4.986,5.018,4.927,5.006,0.035,4.986,0.05,0.823090837,0.970413493
Numa1,nuclear mitotic apparatus protein 1,7195,7,101969842,102014959,6.847,6.329,6.682,6.431,0.049,6.587,0.05,0.82281461,0.970413493
Nupl1,nucleoporin like 1,2787,14,60219203,60251507,5.53,5.684,5.73,5.556,-0.036,5.628,0.05,0.822729322,0.970413493
Rps18,ribosomal protein S18,2491,17,33951998,33956001,9.849,9.761,9.795,9.883,-0.034,9.823,0.05,0.823672297,0.970413493
Slc25a45,"solute carrier family 25, member 45",2650,19,5877807,5885766,5.447,5.333,5.47,5.38,-0.035,5.409,0.05,0.822401082,0.970413493
Syne3,"spectrin repeat containing, nuclear envelope family member 3",5532,12,104929948,105009809,4.509,4.386,4.606,4.364,-0.041,4.472,0.05,0.823467787,0.970413493
Thap4,THAP domain containing 4,6519,1,93701934,93754864,3.053,3.024,3.102,3.063,-0.044,3.066,0.05,0.823052337,0.970413493
Atmin,ATM interactor,4877,8,116943392,116960445,5.842,5.872,5.945,5.833,-0.033,5.875,0.05,0.823824378,0.970415642
Rps6ka4,"ribosomal protein S6 kinase, polypeptide 4",3119,19,6829084,6840601,5.988,5.573,5.856,5.817,-0.042,5.817,0.049,0.824050995,0.970415642
Sphk2,sphingosine kinase 2,4159,7,45709466,45718002,5.67,5.261,5.449,5.426,0.042,5.46,0.049,0.824111756,0.970415642
Zfp84,zinc finger protein 84,4113,7,29768551,29779821,4.809,5.006,4.837,4.91,0.037,4.894,0.049,0.824053335,0.970415642
Cep350,centrosomal protein 350,13249,1,155844965,155972890,5.456,5.57,5.535,5.56,-0.034,5.532,0.049,0.824856372,0.970466421
Eif5,eukaryotic translation initiation factor 5,4061,12,111538100,111546753,8.266,8.212,8.216,8.197,0.033,8.223,0.049,0.824695368,0.970466421
Ptrh2,peptidyl-tRNA hydrolase 2,3132,11,86683984,86692457,4.87,4.772,4.818,4.754,0.036,4.806,0.049,0.824520815,0.970466421
Scfd1,Sec1 family domain containing 1,2091,12,51377579,51450096,5.808,5.68,5.77,5.789,-0.034,5.764,0.049,0.824511012,0.970466421
Tceb1,"transcription elongation factor B (SIII), polypeptide 1",3026,1,16641724,16657042,6.135,6.195,6.189,6.076,0.032,6.15,0.049,0.824739647,0.970466421
Tmem263,transmembrane protein 263,3778,10,85102626,85117747,4.34,4.84,4.515,4.611,0.048,4.59,0.049,0.824488121,0.970466421
Zbtb2,zinc finger and BTB domain containing 2,3338,10,4367073,4388108,4.469,4.749,4.554,4.598,0.04,4.598,0.049,0.824765441,0.970466421
Psma6,"proteasome (prosome, macropain) subunit, alpha type 6",1234,12,55384221,55418454,7.377,7.367,7.39,7.287,0.032,7.356,0.049,0.825113746,0.970651302
Egln2,egl-9 family hypoxia-inducible factor 2,2800,7,27158657,27166802,5.984,5.864,5.966,5.95,-0.033,5.943,0.049,0.82534865,0.970691806
Snrnp27,small nuclear ribonucleoprotein 27 (U4/U6.U5),1767,6,86675220,86684522,5.182,5.212,5.257,5.205,-0.034,5.216,0.049,0.825248533,0.970691806
AI987944,expressed sequence AI987944,2671,7,41372922,41393260,4.225,4.242,4.064,4.31,0.041,4.216,0.049,0.825591576,0.970720974
Ankle2,ankyrin repeat and LEM domain containing 2,5259,5,110231003,110256651,6.491,6.695,6.43,6.681,0.036,6.58,0.048,0.826937385,0.970720974
Cln5,"ceroid-lipofuscinosis, neuronal 5",2396,14,103070215,103077579,6.071,6.23,6.098,6.143,0.032,6.137,0.048,0.825983572,0.970720974
Cyb5r4,cytochrome b5 reductase 4,6736,9,87022013,87077774,6.879,6.727,6.871,6.802,-0.032,6.821,0.048,0.827256401,0.970720974
Dcun1d1,"DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)",5304,3,35892104,35937445,5.283,5.16,5.264,5.106,0.036,5.206,0.048,0.825999751,0.970720974
Dnaja2,DnaJ heat shock protein family (Hsp40) member A2,2839,8,85537639,85555271,7.57,7.51,7.559,7.585,-0.032,7.557,0.048,0.826634519,0.970720974
Ficd,FIC domain containing,3154,5,113735781,113740600,4.109,4.161,3.867,4.281,0.046,4.115,0.048,0.825705933,0.970720974
H2-Ke6,H2-K region expressed gene 6,1533,17,34026032,34028060,3.791,3.649,3.723,3.636,0.042,3.705,0.048,0.82707243,0.970720974
Lmnb1,lamin B1,2962,18,56707812,56753424,7.079,7.13,7.313,6.95,-0.038,7.124,0.048,0.826848204,0.970720974
Map1s,microtubule-associated protein 1S,3271,8,70905973,70917526,5.071,4.616,4.998,4.809,-0.045,4.886,0.047,0.827814853,0.970720974
Mcm3,minichromosome maintenance complex component 3,3685,1,20802967,20820312,7.453,7.431,7.728,7.2,-0.046,7.465,0.048,0.825772345,0.970720974
Med4,mediator complex subunit 4,1304,14,73510048,73518545,4.815,4.951,4.945,4.894,-0.035,4.904,0.048,0.827371672,0.970720974
Mff,mitochondrial fission factor,5872,1,82724889,82752394,6.216,6.232,6.266,6.243,-0.03,6.24,0.048,0.826689739,0.970720974
Pcf11,PCF11 cleavage and polyadenylation factor subunit,6412,7,92643711,92669933,5.242,5.568,5.444,5.304,0.039,5.396,0.047,0.828152899,0.970720974
Phospho2,"phosphatase, orphan 2",4335,2,69789622,69800005,5.076,5.18,5.046,5.275,-0.037,5.148,0.047,0.82791133,0.970720974
Ptpn6,"protein tyrosine phosphatase, non-receptor type 6",2802,6,124720706,124738714,9.571,9.168,9.392,9.291,0.041,9.363,0.047,0.827513887,0.970720974
Rffl,ring finger and FYVE like domain containing protein,5922,11,82802448,82871210,3.777,3.907,3.693,4.063,-0.046,3.87,0.048,0.826567778,0.970720974
Rpl10a,ribosomal protein L10A,2349,17,28328470,28331032,7.408,7.136,7.334,7.293,-0.035,7.297,0.047,0.827945226,0.970720974
Rpl5,ribosomal protein L5,3920,5,107900501,107909005,3.579,3.742,3.585,3.655,0.042,3.646,0.048,0.826437443,0.970720974
Rraga,Ras-related GTP binding A,1618,4,86575667,86577285,6.307,6.257,6.287,6.337,-0.03,6.298,0.047,0.827806316,0.970720974
Sp3,trans-acting transcription factor 3,4933,2,72936426,72980446,7.208,7.504,7.292,7.361,0.036,7.346,0.047,0.828180162,0.970720974
Srek1ip1,splicing regulatory glutamine/lysine-rich protein 1interacting protein 1,3254,13,104792483,104839274,4.386,4.515,4.368,4.606,-0.04,4.474,0.047,0.827577769,0.970720974
Tgfbrap1,"transforming growth factor, beta receptor associated protein 1",10972,1,43047199,43098637,5.186,5.212,5.245,5.22,-0.033,5.217,0.048,0.82650083,0.970720974
Tlk2,tousled-like kinase 2 (Arabidopsis),8070,11,105178806,105283959,5.219,5.192,5.062,5.269,0.036,5.189,0.048,0.826452053,0.970720974
Tmem39b,transmembrane protein 39b,2286,4,129676354,129696838,4.522,4.644,4.589,4.505,0.037,4.568,0.047,0.82767862,0.970720974
Ubac1,ubiquitin associated domain containing 1,2632,2,25998542,26021747,5.056,5.012,5.019,4.983,0.034,5.019,0.047,0.827663531,0.970720974
Wbp1,WW domain binding protein 1,2079,6,83119043,83121559,5.25,4.896,5.065,5.18,-0.04,5.105,0.047,0.827994765,0.970720974
Zfp691,zinc finger protein 691,2399,4,119169512,119174195,2.541,2.709,2.351,2.768,0.053,2.61,0.048,0.826547155,0.970720974
Rpp30,ribonuclease P/MRP 30 subunit,1155,19,36083715,36104772,4.044,4.249,4.258,4.121,-0.041,4.174,0.047,0.828552479,0.971039841
Rpl4,ribosomal protein L4,1422,9,64173386,64178562,11.717,11.685,11.724,11.744,-0.033,11.718,0.047,0.828685415,0.971078117
Nf1,neurofibromatosis 1,15820,11,79339692,79581612,4.491,4.787,4.624,4.592,0.039,4.63,0.047,0.828967089,0.971290659
Mief1,mitochondrial elongation factor 1,5541,15,80234079,80253366,5.098,5.123,5.156,5.131,-0.033,5.128,0.047,0.829139224,0.971374818
Fam63b,"family with sequence similarity 63, member B",8081,9,70599013,70657174,6.382,6.76,6.48,6.755,-0.041,6.604,0.046,0.829418915,0.971524131
Rhobtb2,Rho-related BTB domain containing 2,5216,14,69784989,69805530,6.544,6.538,6.532,6.49,0.029,6.527,0.046,0.829467319,0.971524131
Suclg1,"succinate-CoA ligase, GDP-forming, alpha subunit",4617,6,73248381,73276911,6.792,6.653,6.709,6.677,0.031,6.709,0.046,0.829637185,0.971605575
Anapc7,anaphase promoting complex subunit 7,5119,5,122421692,122444912,5.363,5.473,5.396,5.377,0.033,5.404,0.046,0.83038769,0.972366915
Fam76a,"family with sequence similarity 76, member A",3088,4,132899212,132922558,5.386,5.355,5.361,5.315,0.032,5.356,0.046,0.830620274,0.972412706
Fbxo21,F-box protein 21,3909,5,117976769,118010191,4.59,4.54,4.409,4.636,0.038,4.548,0.046,0.830783043,0.972412706
Rnf146,ring finger protein 146,4454,10,29344177,29362442,5.564,5.695,5.504,5.683,0.034,5.615,0.046,0.830828452,0.972412706
Sart1,squamous cell carcinoma antigen recognized by T cells 1,5091,19,5377522,5388703,6.419,6.248,6.416,6.317,-0.032,6.352,0.046,0.830628567,0.972412706
Oat,ornithine aminotransferase,2155,7,132557474,132576398,6.497,6.543,6.556,6.422,0.03,6.506,0.045,0.831562379,0.973154088
Cox6c,cytochrome c oxidase subunit VIc,3567,15,35925885,35938246,7.3,7.222,7.29,7.167,0.032,7.246,0.045,0.831960069,0.97350185
Carm1,coactivator-associated arginine methyltransferase 1,4324,9,21546893,21589487,5.064,5.12,5.299,4.941,-0.039,5.113,0.045,0.832250233,0.973606095
Eif2s1,"eukaryotic translation initiation factor 2, subunit 1 alpha",3405,12,78861818,78887010,6.965,7.04,7.091,6.836,0.034,6.987,0.045,0.83218591,0.973606095
BC003331,cDNA sequence BC003331,4100,1,150361304,150393080,5.138,4.965,4.995,5.177,-0.036,5.073,0.045,0.832715381,0.973615406
Cdk12,cyclin-dependent kinase 12,11730,11,98203058,98278504,4.825,5.386,5.076,5.096,0.047,5.111,0.045,0.832801774,0.973615406
Cnn3,"calponin 3, acidic",2003,3,121426540,121458205,6.854,6.811,6.984,6.578,0.038,6.814,0.044,0.832992067,0.973615406
D430042O09Rik,RIKEN cDNA D430042O09 gene,7191,7,125707914,125874793,3.152,2.951,2.994,3.028,0.043,3.039,0.045,0.832364567,0.973615406
Hdhd2,haloacid dehalogenase-like hydrolase domain containing 2,4822,18,76930125,76972902,4.695,4.747,4.748,4.762,-0.034,4.74,0.044,0.833002724,0.973615406
Hexim1,hexamethylene bis-acetamide inducible 1,3495,11,103116230,103119725,5.689,6.15,5.851,5.941,0.041,5.919,0.045,0.832854671,0.973615406
Txndc11,thioredoxin domain containing 11,8835,16,11074910,11134650,6.725,6.728,6.751,6.641,0.03,6.712,0.044,0.832970903,0.973615406
Zdhhc7,"zinc finger, DHHC domain containing 7",3472,8,120081094,120101482,4.315,4.279,4.332,4.185,0.037,4.281,0.044,0.833062501,0.973615406
BC037034_1,,3860,5,138259655,138264046,3.295,3.267,3.337,3.135,0.042,3.265,0.044,0.833363635,0.97373889
Dnlz,DNL-type zinc finger,2916,2,26348120,26352110,4.92,4.789,4.863,4.78,0.034,4.841,0.044,0.833369261,0.97373889
Dhx8,DEAH (Asp-Glu-Ala-His) box polypeptide 8,5032,11,101732918,101767358,6.063,6.108,6.151,6.079,-0.03,6.101,0.044,0.83389563,0.973759869
Eif4a2,eukaryotic translation initiation factor 4A2,5338,16,23107443,23114136,8.216,8.266,8.05,8.347,0.035,8.224,0.044,0.833985429,0.973759869
Fam120c,"family with sequence similarity 120, member C",5823,X,151344174,151471842,3.023,3.131,3.148,2.913,0.044,3.063,0.044,0.83409109,0.973759869
Mettl2,methyltransferase like 2,3399,11,105126424,105140394,4.008,3.774,3.978,3.714,0.043,3.877,0.044,0.833665548,0.973759869
Tagln2,transgelin 2,2082,1,172500046,172507380,8.161,8.305,8.222,8.184,0.032,8.219,0.044,0.833904178,0.973759869
Tyw1,tRNA-yW synthesizing protein 1 homolog (S. cerevisiae),7388,5,130255618,130341563,5.617,5.45,5.534,5.471,0.033,5.521,0.044,0.833517252,0.973759869
Zfp62,zinc finger protein 62,6060,11,49203291,49218816,5.39,5.656,5.453,5.534,0.035,5.513,0.044,0.834017761,0.973759869
1810030O07Rik,RIKEN cDNA 1810030O07 gene,2699,X,12654878,12673668,6.17,6.26,6.154,6.217,0.03,6.202,0.043,0.83518519,0.974332415
Ap1s2,"adaptor-related protein complex 1, sigma 2 subunit",4965,X,163909016,163933666,6.428,6.487,6.484,6.489,-0.029,6.473,0.043,0.83517237,0.974332415
Dkkl1,dickkopf-like 1,903,7,45207524,45211883,2.388,2.277,2.332,2.423,-0.045,2.366,0.043,0.835106301,0.974332415
Elmod2,ELMO/CED-12 domain containing 2,11138,8,83312631,83332486,4.126,4.445,4.164,4.336,0.041,4.276,0.043,0.83502389,0.974332415
Nt5dc1,5'-nucleotidase domain containing 1,3192,10,34288287,34418552,5.404,5.295,5.401,5.364,-0.032,5.368,0.043,0.835086474,0.974332415
Tmem161b,transmembrane protein 161B,2572,13,84222313,84295870,3.695,3.657,3.7,3.729,-0.039,3.699,0.044,0.834711906,0.974332415
Tor3a,"torsin family 3, member A",3892,1,156653616,156674356,6.995,6.965,6.878,7.018,0.031,6.966,0.043,0.835376176,0.974437833
1110057K04Rik,,2748,12,8208106,8285758,5.773,5.933,5.895,5.878,-0.032,5.872,0.043,0.835509962,0.974476511
2810474O19Rik,RIKEN cDNA 2810474O19 gene,6802,6,149309413,149335663,5.006,5.382,5.056,5.421,-0.044,5.23,0.043,0.836207518,0.974629645
Arhgap17,Rho GTPase activating protein 17,3583,7,123279149,123369915,7.05,7.003,7.014,6.98,0.03,7.012,0.043,0.836571875,0.974629645
Coq10a,coenzyme Q10A,2502,10,128363096,128370032,3.687,3.683,3.508,3.768,0.041,3.669,0.042,0.83675657,0.974629645
Creld2,cysteine-rich with EGF-like domains 2,1364,15,88819645,88826681,7.01,7.213,6.989,7.168,0.033,7.099,0.043,0.835972188,0.974629645
Gramd1a,GRAM domain containing 1A,5103,7,31130126,31155896,4.813,4.557,4.7,4.752,-0.036,4.71,0.042,0.836925934,0.974629645
Gtf2b,general transcription factor IIB,1271,3,142765225,142783603,5.835,5.875,5.935,5.835,-0.031,5.871,0.043,0.836296505,0.974629645
Igkv3-1,,359,6,70703577,70704177,3.458,4.759,4.861,1.052,0.29,4.115,0.042,0.836726419,0.974629645
Mis12,MIS12 kinetochore complex component,3003,11,71019610,71027371,5.253,5.717,5.482,5.444,0.041,5.485,0.043,0.836469987,0.974629645
Prcc,papillary renal cell carcinoma (translocation-associated),2102,3,87858899,87885608,5.542,5.595,5.546,5.529,0.031,5.554,0.043,0.835789414,0.974629645
Senp6,SUMO/sentrin specific peptidase 6,7016,9,80066902,80144953,6.079,6.194,6.049,6.164,0.03,6.123,0.042,0.836949621,0.974629645
Sgsm3,small G protein signaling modulator 3,4358,15,80977764,81012289,3.345,3.115,3.266,3.113,0.043,3.218,0.042,0.836835383,0.974629645
Sord,sorbitol dehydrogenase,2352,2,122234748,122265340,4.797,4.563,4.547,4.739,0.038,4.668,0.043,0.835947735,0.974629645
Zbed3,"zinc finger, BED type containing 3",1894,13,95325236,95337841,3.872,3.878,3.991,3.832,-0.039,3.898,0.043,0.836267235,0.974629645
Cdkn2c,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",2686,4,109660875,109667189,4.795,4.657,4.823,4.698,-0.034,4.747,0.042,0.837280247,0.974897429
Jkamp,JNK1/MAPK8-associated membrane protein,2692,12,72085588,72101461,4.718,4.827,4.806,4.807,-0.033,4.792,0.042,0.837555483,0.974939976
Msl1,male-specific lethal 1 homolog (Drosophila),5433,11,98795515,98807859,4.959,5.006,5.062,4.966,-0.032,5,0.042,0.837430356,0.974939976
Psmd12,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 12",2649,11,107479483,107504362,6.203,6.284,6.385,6.157,-0.032,6.26,0.042,0.837618815,0.974939976
Bloc1s4,"biogenesis of lysosomal organelles complex-1, subunit 4, cappuccino",1306,5,36747373,36748679,3.986,3.622,3.818,3.725,0.043,3.797,0.042,0.838296696,0.975025848
Fam195b,"family with sequence similarity 195, member B",1282,11,120542887,120549727,6.297,6.029,6.287,6.113,-0.034,6.186,0.042,0.83822167,0.975025848
Gse1,genetic suppressor element 1,8098,8,120230535,120581390,3.035,3.34,3.395,3.074,-0.047,3.225,0.042,0.838082665,0.975025848
Naa25,"N(alpha)-acetyltransferase 25, NatB auxiliary subunit",8298,5,121397935,121444378,4.664,4.794,4.856,4.507,0.039,4.713,0.042,0.837808174,0.975025848
Rbmxl1,"RNA binding motif protein, X-linked like-1",1723,8,78505270,78508928,5.37,5.546,5.479,5.377,0.033,5.446,0.042,0.83796775,0.975025848
Tbrg1,transforming growth factor beta regulated gene 1,3482,9,37649181,37657312,6.645,6.574,6.513,6.645,0.029,6.596,0.042,0.838167059,0.975025848
Paics,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoribosylaminoimidazole, succinocarboxamide synthetase",3139,5,76951306,76967509,7.698,7.675,7.777,7.655,-0.03,7.702,0.042,0.838444904,0.975081116
Akap8l,A kinase (PRKA) anchor protein 8-like,2075,17,32321424,32350581,4.839,4.707,4.74,4.743,0.033,4.76,0.041,0.839026012,0.975293207
Nudt21,nudix (nucleoside diphosphate linked moiety X)-type motif 21,2726,8,94017769,94037021,5.501,5.422,5.62,5.362,-0.034,5.481,0.041,0.839030123,0.975293207
Trip11,thyroid hormone receptor interactor 11,10150,12,101834042,101913267,4.474,4.645,4.466,4.722,-0.038,4.583,0.041,0.838825668,0.975293207
Ttf2,"transcription termination factor, RNA polymerase II",6564,3,100938859,100969663,4.362,4.365,4.486,4.308,-0.036,4.384,0.041,0.838889548,0.975293207
Dapp1,dual adaptor for phosphotyrosine and 3-phosphoinositides 1,3284,3,137931006,137981545,6.225,6.31,6.182,6.407,-0.031,6.284,0.041,0.839131874,0.975294415
Adck4,aarF domain containing kinase 4,3175,7,27233022,27262252,4.174,3.926,4.134,3.885,0.041,4.038,0.041,0.839861387,0.975439874
Cops5,COP9 signalosome subunit 5,3384,1,10024600,10038168,5.996,5.995,6.096,5.816,0.033,5.98,0.041,0.839841101,0.975439874
Lsm12,LSM12 homolog,2388,11,102162496,102185296,5.526,5.636,5.695,5.529,-0.032,5.599,0.041,0.83970929,0.975439874
Mtbp,"Mdm2, transformed 3T3 cell double minute p53 binding protein",5481,15,55557407,55626423,3.691,3.653,3.654,3.764,-0.038,3.695,0.041,0.83978572,0.975439874
Naif1,nuclear apoptosis inducing factor 1,4650,2,32450456,32456953,3.948,3.72,3.846,3.75,0.04,3.822,0.041,0.83943494,0.975439874
Zfp433,zinc finger protein 433,1800,10,81718918,81721468,3.957,3.881,3.719,4.023,0.041,3.903,0.041,0.839631058,0.975439874
Evl,Ena-vasodilator stimulated phosphoprotein,2695,12,108554719,108688513,7.8,7.738,7.836,7.762,-0.03,7.785,0.041,0.840052016,0.975544276
Haus3,"HAUS augmin-like complex, subunit 3",1950,5,34153920,34169445,2.608,2.97,2.987,2.696,-0.048,2.832,0.04,0.840691165,0.975844217
Pcnxl3,,8757,19,5664634,5688908,5.917,5.907,5.868,5.897,0.029,5.898,0.04,0.840600834,0.975844217
Smim20,small integral membrane protein 20,6494,5,53267105,53283510,5.581,5.178,5.474,5.388,-0.038,5.414,0.04,0.840713373,0.975844217
Zfp277,zinc finger protein 277,2454,12,40315045,40445790,5.4,5.289,5.243,5.381,0.032,5.331,0.04,0.840631451,0.975844217
Rnf170,ring finger protein 170,5032,8,26119367,26143871,3.31,3.185,3.371,3.203,-0.04,3.274,0.04,0.840877989,0.975918318
Bag3,BCL2-associated athanogene 3,2591,7,128523582,128546977,3.533,3.818,3.793,3.652,-0.041,3.707,0.04,0.841885634,0.976014971
Ccar1,cell division cycle and apoptosis regulator 1,4478,10,62743927,62792368,5.798,5.977,5.964,5.877,-0.031,5.907,0.04,0.841947289,0.976014971
Cenpn,centromere protein N,1768,8,116921739,116941503,3.071,3.059,3.495,2.637,-0.063,3.102,0.04,0.841134502,0.976014971
Dok3,docking protein 3,1546,13,55523234,55528538,7.415,7.094,7.087,7.494,-0.041,7.285,0.04,0.841177761,0.976014971
Esco1,establishment of sister chromatid cohesion N-acetyltransferase 1,4572,18,10566601,10610352,5.721,5.771,5.71,5.84,-0.03,5.762,0.04,0.841969132,0.976014971
H3f3b,"H3 histone, family 3B",2976,11,116021911,116027962,9.572,9.158,9.399,9.435,-0.038,9.398,0.04,0.841524188,0.976014971
Lsm1,"LSM1 homolog, mRNA degradation associated",2360,8,25785590,25803975,4.889,4.734,4.777,4.785,0.033,4.799,0.04,0.84168499,0.976014971
Nup133,nucleoporin 133,5808,8,123897122,123949265,5.095,5.091,5.145,4.972,0.032,5.078,0.04,0.841383392,0.976014971
Nup88,nucleoporin 88,6716,11,70943057,70969973,6.042,6.188,6.157,6.135,-0.029,6.132,0.04,0.84174462,0.976014971
Tmem201,transmembrane protein 201,8944,4,149715374,149738044,3.751,3.618,3.704,3.59,0.038,3.671,0.04,0.841845641,0.976014971
Ccdc166,coiled-coil domain containing 166,2584,15,75979871,75982455,3.212,2.97,2.923,3.332,-0.047,3.125,0.04,0.842084502,0.976016842
Mettl21a,methyltransferase like 21A,3005,1,64606472,64617242,4.347,4.182,4.258,4.346,-0.036,4.288,0.04,0.842273105,0.976016842
Ypel5,yippee-like 5 (Drosophila),2869,17,72836703,72851195,6.186,6.263,6.163,6.34,-0.03,6.24,0.04,0.84218582,0.976016842
Bmi1,Bmi1 polycomb ring finger oncogene,3974,2,18677017,18686629,6.106,6.266,6.166,6.268,-0.029,6.204,0.039,0.842700726,0.976062631
Dvl3,dishevelled segment polarity protein 3,4899,16,20516981,20532520,2.648,2.649,2.764,2.613,-0.042,2.677,0.04,0.84246005,0.976062631
Eaf2,ELL associated factor 2,4370,16,36792883,36875003,4.478,4.583,4.614,4.515,-0.034,4.55,0.039,0.842917367,0.976062631
Ppip5k1,diphosphoinositol pentakisphosphate kinase 1,12486,2,121310560,121355396,3.656,3.587,3.738,3.578,-0.038,3.645,0.039,0.842720038,0.976062631
Pradc1,protease-associated domain containing 1,1594,6,85446809,85451970,3.285,3.449,3.568,3.239,-0.043,3.396,0.039,0.842771455,0.976062631
Tollip,toll interacting protein,4333,7,141874812,141918507,6.312,6.404,6.282,6.378,0.028,6.346,0.039,0.842864538,0.976062631
4930522L14Rik,RIKEN cDNA 4930522L14 gene,2409,5,109735989,109751886,3.402,3.292,3.224,3.538,-0.042,3.374,0.039,0.843186431,0.97607808
Csnk1g2,"casein kinase 1, gamma 2",2511,10,80622779,80640771,7.087,6.844,6.945,6.933,0.031,6.955,0.039,0.843233087,0.97607808
Wrnip1,Werner helicase interacting protein 1,2633,13,32802037,32822609,5.394,5.375,5.412,5.416,-0.03,5.401,0.039,0.843228182,0.97607808
Cad,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",8164,5,31054779,31078479,6.611,6.636,6.809,6.485,-0.032,6.64,0.038,0.84477463,0.976091421
Eif2b1,"eukaryotic translation initiation factor 2B, subunit 1 (alpha)",2577,5,124570212,124579131,5.19,5.305,5.249,5.187,0.031,5.235,0.039,0.843915239,0.976091421
Fbxl12,F-box and leucine-rich repeat protein 12,5090,9,20618117,20644767,3.773,3.44,3.669,3.644,-0.041,3.64,0.038,0.844875197,0.976091421
Fundc1,FUN14 domain containing 1,2353,X,17556563,17572325,6.148,6.094,6.056,6.129,0.028,6.108,0.039,0.844183159,0.976091421
Gnal,"guanine nucleotide binding protein, alpha stimulating, olfactory type",5761,18,67088335,67226792,3.537,3.709,3.477,3.836,-0.042,3.651,0.038,0.845159703,0.976091421
Hirip3,HIRA interacting protein 3,3023,7,126861971,126865377,3.511,3.301,3.685,3.188,-0.047,3.438,0.038,0.845006731,0.976091421
Ict1,immature colon carcinoma transcript 1,3332,11,115403751,115412674,5.15,4.896,5.011,4.979,0.033,5.014,0.039,0.844299792,0.976091421
Igkv4-70,,348,6,69267887,69268412,6.015,5.94,4.727,6.46,0.139,5.911,0.039,0.844080971,0.976091421
Larp4b,"La ribonucleoprotein domain family, member 4B",8464,13,9093880,9174451,6.466,6.702,6.646,6.591,-0.03,6.604,0.039,0.843863892,0.976091421
Lpp,LIM domain containing preferred translocation partner in lipoma,15994,16,24393349,24992576,4.618,5.315,5.152,4.964,-0.053,5.036,0.039,0.843830958,0.976091421
Mob1a,MOB kinase activator 1A,4794,6,83326015,83343776,8.971,9.086,9.064,9.055,-0.03,9.045,0.038,0.845115425,0.976091421
Plrg1,pleiotropic regulator 1,2816,3,83055521,83072355,6.075,6.218,6.157,6.082,0.029,6.135,0.038,0.844808331,0.976091421
Poldip3,"polymerase (DNA-directed), delta interacting protein 3",5679,15,83125977,83149384,6.956,7.056,7.076,6.995,-0.029,7.022,0.038,0.844802454,0.976091421
Rnaseh2a,"ribonuclease H2, large subunit",3509,8,84956609,84969767,5.2,5.03,5.074,5.096,0.032,5.103,0.039,0.843454284,0.976091421
Rnf185,ring finger protein 185,2906,11,3415981,3452363,5.295,5.465,5.294,5.528,-0.033,5.401,0.038,0.844855756,0.976091421
Rtn4ip1,reticulon 4 interacting protein 1,3135,10,43901806,43947862,4.166,4.33,4.292,4.279,-0.035,4.27,0.038,0.844722467,0.976091421
Tmx3,thioredoxin-related transmembrane protein 3,4611,18,90510153,90543267,6.855,6.901,6.825,6.875,0.028,6.865,0.039,0.844130139,0.976091421
Ube2l3,ubiquitin-conjugating enzyme E2L 3,5599,16,17152012,17202649,2.799,2.716,2.897,2.696,-0.042,2.786,0.039,0.843431267,0.976091421
Zfp282,zinc finger protein 282,7663,6,47877203,47908485,4.376,4.359,4.427,4.231,0.035,4.353,0.038,0.844561606,0.976091421
Rnasek,"ribonuclease, RNase K",885,11,70238123,70239842,2.77,2.462,2.427,2.882,-0.05,2.656,0.038,0.845262076,0.976093244
Ccdc28a,coiled-coil domain containing 28A,2964,10,18213675,18234998,3.407,3.242,3.356,3.373,-0.038,3.351,0.038,0.845593272,0.9762149
Ciz1,CDKN1A interacting zinc finger protein 1,7437,2,32352326,32380226,4.626,4.522,4.683,4.529,-0.033,4.594,0.038,0.845669847,0.9762149
Gemin5,gem (nuclear organelle) associated protein 5,6618,11,58120001,58168539,5.026,5.08,5.231,4.929,-0.034,5.072,0.038,0.845476833,0.9762149
Rnf111,ring finger 111,5003,9,70425428,70503725,5.387,5.722,5.562,5.634,-0.034,5.583,0.038,0.845964756,0.976438939
Commd4,COMM domain containing 4,824,9,57155040,57158299,5.945,5.785,5.89,5.782,0.03,5.853,0.038,0.846297858,0.976474259
Tmem209,transmembrane protein 209,8130,6,30479052,30509783,5.891,5.76,5.84,5.873,-0.029,5.843,0.038,0.846209327,0.976474259
