genes,name,ExonLength,chr,chr_start,chr_end,WT_FoB_1_log2(cpm),WT_FoB_2_log2(cpm),DKO_FoB_1_log2(cpm),DKO_FoB_2_log2(cpm),DKO_FoB_3_log2(cpm),DKO_ABC_1_log2(cpm),DKO_ABC_2_log2(cpm),DKO_ABC_3_log2(cpm),logFC_1*WT_FoB -1*DKO_FoB,logCPM_1*WT_FoB -1*DKO_FoB,LR_1*WT_FoB -1*DKO_FoB,PValue_1*WT_FoB -1*DKO_FoB,FDR_1*WT_FoB -1*DKO_FoB,logFC_1*WT_FoB -1*DKO_ABC,logCPM_1*WT_FoB -1*DKO_ABC,LR_1*WT_FoB -1*DKO_ABC,PValue_1*WT_FoB -1*DKO_ABC,FDR_1*WT_FoB -1*DKO_ABC,logFC_1*DKO_FoB -1*DKO_ABC,logCPM_1*DKO_FoB -1*DKO_ABC,LR_1*DKO_FoB -1*DKO_ABC,PValue_1*DKO_FoB -1*DKO_ABC,FDR_1*DKO_FoB -1*DKO_ABC,ENTREZID
Marco,macrophage receptor with collagenous structure,1925,1,120474537,120505024,-2.181,-1.125,0.585,-3.368,-3.456,1.847,2.158,1.679,-0.781,0.812,0.371,0.54271479,0.675253791,-3.653,0.812,6.671,0.009798511,0.027803335,-2.872,0.812,6.301,0.012066507,0.084898853,17167
Mcam,melanoma cell adhesion molecule,3350,9,44134468,44142727,-2.181,-1.549,-1.776,-3.368,-1.262,0.326,0.738,0.268,0.061,-0.425,0.005,0.942118813,0.964197955,-2.495,-0.425,10.511,0.001186804,0.005060662,-2.556,-0.425,15.517,8.17618375530122e-05,0.00138791,84004
Mocos,molybdenum cofactor sulfurase,2884,18,24653690,24701556,-2.181,-1.818,-0.752,-1.604,-0.892,0.326,1.346,0.869,-1.084,0.021,1.969,0.160523851,0.290218286,-3.149,0.021,18.532,1.67116205607432e-05,0.000147809,-2.065,0.021,13.819,0.000201245,0.002998802,68591
Myo1h,myosin 1H,5152,5,114314940,114364576,-2.181,-2.15,-0.158,-2.399,-0.597,3.236,-1.322,0.557,-1.582,0.749,1.412,0.234699049,0.380095406,-4.374,0.749,8.822,0.002975472,0.010603369,-2.792,0.749,6.128,0.01330443,0.091438293,231646
Nipal4,NIPA-like domain containing 4,3444,11,46148154,46166508,-2.181,-2.15,-1.776,-2.804,-1.763,1.795,1.716,1.265,-0.147,0.427,0.031,0.860239155,0.909822931,-4.07,0.427,32.509,1.18630633684878e-08,2.81018468319097e-07,-3.923,0.427,45.461,1.55732112718761e-11,1.33352831335472e-09,214112
Pinlyp,phospholipase A2 inhibitor and LY6/PLAUR domain containing,755,7,24541698,24546071,-2.181,-1.549,-0.906,-2.804,0.479,0.465,0.299,0.099,-1.464,-0.234,2.214,0.136772273,0.258736417,-2.319,-0.234,5.421,0.019900298,0.049155438,-0.855,-0.234,1.202,0.272842118,0.624215771,641361
Pls1,plastin 1 (I-isoform),3890,9,95752641,95845311,-2.181,-0.953,-0.484,0.099,-0.279,1.768,1.37,2.048,-1.36,0.802,4.277,0.038640963,0.104439918,-3.365,0.802,27.171,1.86273777245823e-07,3.12076067385756e-06,-2.005,0.802,17.118,3.51208020120989e-05,0.000653779,102502
Plxdc1,plexin domain containing 1,4836,11,97923237,97986444,-2.181,-1.125,-0.612,-2.399,-1.262,0.089,-0.799,0.214,-0.323,-0.645,0.155,0.694237183,0.794277696,-1.587,-0.645,3.979,0.046058279,0.096107167,-1.265,-0.645,3.617,0.057191981,0.26361216,72324
Pros1,protein S (alpha),4088,16,62854306,62929346,-2.181,-4.31,-0.752,-2.804,-2.923,1.098,0.62,0.467,-1.335,-0.287,1.432,0.231483874,0.376470679,-4.151,-0.287,14.938,0.000111102,0.000735593,-2.816,-0.287,12.285,0.000456502,0.006017295,19128
Pstpip2,proline-serine-threonine phosphatase-interacting protein 2,1395,18,77794544,77882007,-2.181,-3.201,-0.752,-3.368,-2.923,1.686,1.295,0.42,-0.846,0.085,0.574,0.44860113,0.593819886,-4.241,0.085,14.652,0.000129284,0.000832137,-3.395,0.085,15.269,9.3256664807421e-05,0.001562387,19201
RP24-63G4.11,,928,7,30885030,30886446,-2.181,-1.549,-0.612,-1.246,0.095,3.912,3.704,2.82,-1.517,2.257,4.138,0.04192048,0.110892621,-5.623,2.257,53.478,2.61482795691065e-13,1.78860421194598e-11,-4.107,2.257,52.221,4.95827782962538e-13,5.6193815402421e-11,NA
Rtkn2,rhotekin 2,5547,10,67979569,68059740,-2.181,-2.15,0.261,-1.604,1.169,0.465,0.62,0.321,-2.77,0.157,8.491,0.003569753,0.019182598,-2.911,0.157,9.325,0.002260316,0.00852226,-0.141,0.157,0.041,0.838724615,0.942983787,170799
Six5,sine oculis-related homeobox 5,3007,7,19094593,19098549,-2.181,-1.321,0.024,-2.804,-0.21,0.651,-0.416,-1.017,-1.238,-0.468,1.522,0.217265549,0.360084552,-1.734,-0.468,2.952,0.085761533,0.157465585,-0.496,-0.468,0.369,0.543372512,0.817137762,20475
Skida1,SKI/DACH domain containing 1,4927,2,18040675,18049051,-2.181,-2.582,-0.484,-1.246,-0.143,1.897,1.073,0.903,-2.091,0.391,6.468,0.010985807,0.042434009,-4.064,0.391,25.641,4.11313891414174e-07,6.19920284843267e-06,-1.973,0.391,12.366,0.000437181,0.005802313,72668
Spire1,spire homolog 1 (Drosophila),5178,18,67488208,67552777,-2.181,-1.818,0.8,0.099,1.94,2.555,2.53,2.303,-3.394,1.601,18.248,1.93913603490266e-05,0.000410298,-4.722,1.601,33.515,7.07207134843012e-09,1.76954858848165e-07,-1.328,1.601,5.89,0.015224822,0.101323514,68166
Tfcp2l1,transcription factor CP2-like 1,9438,1,118627944,118685168,-2.181,-2.582,-0.906,-0.834,0.913,0.708,-0.502,-0.892,-2.677,-0.253,7.078,0.007804842,0.033434494,-2.592,-0.253,6.602,0.010184877,0.028744429,0.085,-0.253,0.013,0.907684264,0.969046001,81879
Timd4,T cell immunoglobulin and mucin domain containing 4,2173,11,46810799,46844332,-2.181,-1.549,1.154,-3.368,-3.456,2.205,0.948,0.6,-1.663,0.483,1.255,0.262541971,0.411690882,-3.476,0.483,4.732,0.029605371,0.068012339,-1.813,0.483,2.108,0.146486624,0.458913427,276891
Tmtc3,transmembrane and tetratricopeptide repeat containing 3,8939,10,100443901,100487350,-2.181,-0.798,1.114,0.574,1.708,2.601,1.772,2.354,-2.686,1.509,14.846,0.000116646,0.001592006,-3.771,1.509,28.033,1.19283137228363e-07,2.14041029155639e-06,-1.085,1.509,4.565,0.032633475,0.179683497,237500
Tnip3,TNFAIP3 interacting protein 3,3891,6,65590397,65634040,-2.181,-2.582,-1.505,-3.368,-1.411,1.821,1.657,1.638,-0.616,0.518,0.498,0.480248149,0.622352274,-4.425,0.518,32.742,1.052317972229e-08,2.52381654750357e-07,-3.809,0.518,39.885,2.6934884127278e-10,1.78946701443295e-08,414084
Tsnaxip1,translin-associated factor X (Tsnax) interacting protein 1,2210,8,105827743,105844676,-2.181,-1.321,0.697,-1.604,-0.689,1.872,0.738,1.718,-1.589,0.602,3.153,0.075804298,0.169267469,-3.409,0.602,13.672,0.000217724,0.001270515,-1.821,0.602,6.688,0.009704237,0.072095742,72236
Unc13b,unc-13 homolog B (C. elegans),13497,4,43058952,43264871,-2.181,-0.953,0.024,-0.959,-0.597,0.251,-0.799,-0.025,-1.069,-0.405,2.118,0.145550354,0.270856743,-1.416,-0.405,3.77,0.052192043,0.106035153,-0.347,-0.405,0.356,0.550908899,0.821668694,22249
Usp2,ubiquitin specific peptidase 2,4807,9,44067020,44095627,-2.181,-2.582,0.399,-1.246,1.778,0.089,-1.172,-1.152,-3.492,0.013,9.712,0.00183053,0.011881485,-2.002,0.013,3.341,0.06758586,0.130913629,1.491,0.013,3.199,0.073673015,0.308125925,53376
Ust,uronyl-2-sulfotransferase,4284,10,8204752,8518825,-2.181,-0.953,0.399,0.161,-0.787,3.366,3.337,2.439,-1.555,1.906,4.832,0.027943746,0.08246865,-4.726,1.906,41.261,1.33221858778147e-10,5.3288743511259e-09,-3.171,1.906,33.376,7.59637160144726e-09,3.41688932734359e-07,338362
Zfp322a,zinc finger protein 322A,5197,13,23353102,23369208,-2.181,-0.659,1.701,1.354,1.221,1.01,1.637,1.532,-2.803,1.131,20.285,6.67164364535839e-06,0.000179777,-2.791,1.131,20.13,7.23634589164585e-06,7.18661155562079e-05,0.012,1.131,0.001,0.978641261,0.994153341,218100
A930015D03Rik,,1111,17,35994452,36038435,-2.61,-4.31,0.749,0.703,0.561,1.01,-0.257,-0.162,-4.605,0.193,24.69,6.73422374487657e-07,2.83880839688879e-05,-4.219,0.193,20.316,6.56625274303085e-06,6.60625602344966e-05,0.386,0.193,0.504,0.477709687,0.779791272,77810
Acer2,alkaline ceramidase 2,7159,4,86874395,86934822,-2.61,-1.549,-0.752,-0.959,-0.597,0.089,0.247,-0.313,-1.395,-0.469,3.728,0.053505363,0.132275875,-2.227,-0.469,10.179,0.001420448,0.005841471,-0.831,-0.469,2.595,0.107234575,0.386780557,230379
Anxa3,annexin A3,1597,5,96793384,96845968,-2.61,-4.31,0.186,-4.31,-4.31,0.763,0.078,0.42,-2.515,-0.45,1.741,0.187041855,0.323586328,-4.38,-0.45,4.585,0.032260337,0.072625024,-1.865,-0.45,1.539,0.21469315,0.559654948,11745
Aoah,acyloxyacyl hydrolase,2915,13,20794118,21024252,-2.61,-4.31,-0.612,-4.31,-4.31,1.897,0.578,0.937,-1.654,0.064,0.96,0.327271917,0.48059748,-5.2,0.064,7.731,0.005426977,0.01717202,-3.546,0.064,6.314,0.011978011,0.084481884,27052
Aplp1,amyloid beta (A4) precursor-like protein 1,2391,7,30434980,30445582,-2.61,-2.582,-0.158,-4.31,-2.923,1.598,0.017,0.099,-1.331,-0.25,0.937,0.332968743,0.486005114,-3.768,-0.25,6.72,0.009532754,0.027202824,-2.438,-0.25,4.655,0.030971301,0.173463292,11803
Apoc2,apolipoprotein C-II,932,7,19671578,19681423,-2.61,-4.31,-1.505,-2.399,-2.229,4.111,5.004,2.462,-1.675,2.817,2.005,0.156798551,0.285645616,-8.165,2.817,46.519,9.07565269395581e-12,4.71287741407279e-10,-6.49,2.817,54.91,1.26201777774111e-13,1.56870166781583e-11,11813
Apol10b,apolipoprotein L 10B,1986,15,77584157,77596125,-2.61,-1.818,-0.612,-2.804,0.095,2.337,2.486,1.884,-1.698,1.099,3.3,0.069279636,0.159155922,-4.724,1.099,23.305,1.38212073557382e-06,1.73953477335261e-05,-3.027,1.099,17.546,2.80470870046636e-05,0.000536795,328561
Bcar1,breast cancer anti-estrogen resistance 1,3171,8,111710484,111743849,-2.61,-4.31,0.024,-0.422,1.795,0.763,0.078,-0.672,-4.75,0.232,15.434,8.54596520616645e-05,0.001273085,-4.08,0.232,11.544,0.000679661,0.003234101,0.669,0.232,0.751,0.386143485,0.72327875,12927
Bmp6,bone morphogenetic protein 6,2410,13,38345715,38499728,-2.61,-4.31,-3.174,-4.31,-4.31,2.037,2.552,1.125,1.488,0.706,0.986,0.320780235,0.47389301,-5.976,0.706,31.706,1.79337163493353e-08,4.05702076317643e-07,-7.465,0.706,55.837,7.87363116145265e-14,1.04619742788957e-11,12161
C1qtnf6,C1q and tumor necrosis factor related protein 6,2402,15,78523345,78529625,-2.61,-2.582,-2.11,-3.368,-0.429,0.651,0.299,0.158,-1.406,-0.472,1.807,0.178868541,0.312911673,-3.375,-0.472,10.584,0.001140504,0.004899379,-1.968,-0.472,6.447,0.011112549,0.079690488,72709
C6,complement component 6,4036,15,4727174,4815456,-2.61,-2.582,3.868,-1.414,-2.923,5.223,3.572,4.383,-5.361,3.421,7.858,0.005058983,0.024623936,-7.587,3.421,12.874,0.000333217,0.001799153,-2.226,3.421,2.712,0.099605401,0.370168198,12274
Cd200r1,CD200 receptor 1,2034,16,44765735,44794978,-2.61,-3.201,0.107,-3.368,-3.456,2.39,1.553,1.575,-1.984,0.699,2.136,0.143908506,0.268350404,-5.313,0.699,12.914,0.000326125,0.001766639,-3.329,0.699,9.371,0.002204824,0.022818052,57781
Cd300lb,CD300 antigen like family member B,2917,11,114922780,114934386,-2.61,-4.31,0.399,-4.31,-4.31,1.536,0.137,0.512,-2.74,-0.135,1.872,0.171218898,0.303711901,-4.799,-0.135,4.835,0.027890383,0.064832663,-2.06,-0.135,1.689,0.193771415,0.531560881,217304
Cd302,CD302 antigen,1354,2,60251992,60284488,-2.61,-2.15,2.035,-2.399,-2.923,2.982,2.267,2.427,-3.238,1.534,4.521,0.033473702,0.094241595,-5.315,1.534,10.15,0.001442923,0.00591496,-2.078,1.534,3.104,0.078112859,0.320320912,66205
Cpe,carboxypeptidase E,2087,8,64592557,64693040,-2.61,-4.31,1.114,-4.31,-2.535,1.22,-4.31,-4.31,-3.568,-0.661,1.441,0.230021467,0.374883429,-3.594,-0.661,1.458,0.227308399,0.336906233,-0.026,-0.661,0,0.990683979,0.997848462,12876
Csf3r,colony stimulating factor 3 receptor (granulocyte),3609,4,126024549,126044440,-2.61,-4.31,0.85,-2.399,-4.31,2.355,0.193,1.125,-3.312,0.438,3.293,0.069560081,0.159455185,-5.448,0.438,7.52,0.006100211,0.01895657,-2.137,0.438,2.378,0.123066528,0.420032201,12986
Cttn,cortactin,4192,7,144435732,144471009,-2.61,-2.582,2.27,0.482,3.254,3.017,1.862,2.391,-5.426,2.069,25.668,4.05579882105417e-07,1.92151780210599e-05,-5.53,2.069,26.481,2.66137814685344e-07,4.25526021820549e-06,-0.104,2.069,0.024,0.878002818,0.957730792,13043
Cttnbp2nl,CTTNBP2 N-terminal like,5000,3,105001914,105053146,-2.61,-4.31,0.943,-4.31,-1.128,2.144,1.073,1.154,-3.581,0.542,4.756,0.02918968,0.085296437,-5.5,0.542,9.795,0.001749557,0.006933452,-1.919,0.542,2.569,0.108999582,0.391016791,80281
Dmrt2,doublesex and mab-3 related transcription factor 2,2347,19,25672419,25679010,-2.61,-3.201,-2.11,-2.399,-2.535,1.628,1.418,0.371,-0.711,0.053,0.466,0.494812907,0.635983678,-4.636,0.053,27.016,2.01781365707309e-07,3.34182319137034e-06,-3.925,0.053,32.726,1.06100120291238e-08,4.68136408613248e-07,226049
Efcab3,EF-hand calcium binding domain 3,2890,11,105063591,105117537,-2.61,-1.818,0.943,-0.175,3.416,0.651,0.66,0.869,-4.637,1.3,14.314,0.000154715,0.001966963,-3.172,1.3,7.449,0.006345644,0.019561505,1.466,1.3,2.876,0.089935312,0.348955773,70894
Eno4,enolase 4,2568,19,58943424,58971419,-2.61,-2.15,0.464,-1.824,-0.143,1.472,0.775,1.065,-2.418,0.309,7.147,0.007507245,0.03253984,-3.834,0.309,17.823,2.42413950030533e-05,0.000202187,-1.416,0.309,4.901,0.026838842,0.156379545,226265
Epor,erythropoietin receptor,1829,9,21958898,21963576,-2.61,-3.201,-0.367,-3.368,-2.923,1.098,0.578,-0.672,-1.593,-0.457,1.576,0.209357841,0.350750238,-3.891,-0.457,9.077,0.002588108,0.009479888,-2.298,-0.457,5.602,0.017942962,0.11600707,13857
Evc2,Ellis van Creveld syndrome 2,5837,5,37338498,37425055,-2.61,-3.201,1.371,-0.422,2.396,2.758,1.929,1.317,-4.935,1.483,18.562,1.6443931988511e-05,0.000362771,-5.541,1.483,22.619,1.97492795439906e-06,2.37073386841673e-05,-0.606,1.483,0.679,0.410058795,0.739638264,68525
F730043M19Rik,RIKEN cDNA F730043M19 gene,4610,12,33111710,33147597,-2.61,-2.15,1.031,-0.613,0.479,2.784,0.299,0.321,-3.13,0.805,7.729,0.005432917,0.02585612,-4.349,0.805,13.866,0.000196305,0.001165532,-1.22,0.805,2.205,0.137550608,0.444310259,320046
Fads3,fatty acid desaturase 3,3269,19,10041547,10059671,-2.61,-2.582,-2.11,-2.804,-0.787,0.592,0.137,-0.481,-1.216,-0.673,1.531,0.215981971,0.358522628,-3.122,-0.673,10.951,0.00093544,0.004183243,-1.906,-0.673,7.266,0.007026222,0.05660148,60527
Fbxo2,F-box protein 2,1288,4,148160620,148166424,-2.61,-4.31,-1.505,-2.083,0.095,-0.094,0.847,-0.892,-3.02,-0.491,6.115,0.013402584,0.048813444,-4.046,-0.491,10.912,0.000955371,0.004255912,-1.026,-0.491,1.568,0.210469513,0.553892088,230904
Fosl2,fos-like antigen 2,5855,5,32136471,32157831,-2.61,-1.125,-0.259,-0.335,-1.005,2.3,2.2,1.44,-1.308,0.944,3.23,0.072282276,0.163552198,-3.921,0.944,29.697,5.05068061571972e-08,1.00147286308268e-06,-2.613,0.944,23.253,1.42043626645026e-06,3.86358664474472e-05,14284
Galnt3,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3,4374,2,66082765,66124994,-2.61,-4.31,1.901,-3.368,-3.456,3.348,1.962,2.717,-4.309,1.644,4.914,0.026644874,0.079672721,-6.755,1.644,9.784,0.001760174,0.006970747,-2.445,1.644,2.91,0.088038357,0.343825474,14425
Gfra2,glial cell line derived neurotrophic factor family receptor alpha 2,3462,14,70890129,70979838,-2.61,-2.582,2.96,-3.368,-2.923,4.227,2.594,3.092,-4.432,2.383,5.409,0.020029048,0.064952832,-6.51,2.383,9.604,0.001941241,0.007532979,-2.078,2.383,2.185,0.139336668,0.447177091,14586
Gm17322,,2169,9,57998040,58007451,-2.61,-0.659,-1.505,-1.824,-0.429,-0.844,0.398,0.099,-0.254,-0.504,0.089,0.7660205,0.845445578,-1.422,-0.504,2.83,0.092490842,0.166850059,-1.168,-0.504,2.692,0.100825626,0.372616446,100418192
Gm19705,,1558,1,136670768,136690804,-2.61,-3.201,-1.277,-1.604,-0.892,0.397,0.137,0.371,-2.061,-0.485,5.579,0.018180072,0.060339258,-3.686,-0.485,21.382,3.76326208847069e-06,4.07334360886903e-05,-1.624,-0.485,9.447,0.002114542,0.022101364,100503460
Hfe,hemochromatosis,3572,13,23702033,23710854,-2.61,-3.201,2.357,-2.083,-1.763,3.654,2.474,2.774,-4.308,1.959,7.794,0.005240774,0.025271271,-6.487,1.959,14.823,0.000118059,0.000772364,-2.179,1.959,3.836,0.05017028,0.241653514,15216
Hoxa7,homeobox A7,3761,6,52214490,52221854,-2.61,-4.31,0.261,-1.604,0.676,2.263,2.025,0.214,-3.974,0.781,10.508,0.001188345,0.008764715,-5.696,0.781,20.268,6.73128357124758e-06,6.75832704396402e-05,-1.722,0.781,4.554,0.032843003,0.180535007,15404
Hs3st2,heparan sulfate (glucosamine) 3-O-sulfotransferase 2,2270,7,121392295,121501768,-2.61,-2.582,0.642,-2.804,-1.262,1.22,0.535,0.641,-2.421,0.019,4.55,0.032923992,0.093147663,-3.835,0.019,10.912,0.000955284,0.004255912,-1.414,0.019,2.849,0.09142604,0.352103941,195646
Ifi204,interferon activated gene 204,2253,1,173747292,173766876,-2.61,-3.201,1.267,-1.824,-2.229,2.185,1.012,2.53,-3.301,0.988,6.024,0.014114164,0.050636241,-5.461,0.988,14.376,0.000149681,0.000939365,-2.16,0.988,4.777,0.028836598,0.164536563,15951
Kctd17,potassium channel tetramerisation domain containing 17,2134,15,78428563,78438909,-2.61,-2.15,1.073,0.859,2.218,3.392,3.07,2.427,-4.234,2.074,27.345,1.70180481965011e-07,9.19292696969871e-06,-5.742,2.074,47.647,5.10419599067892e-12,2.79642206882693e-10,-1.509,2.074,8.345,0.003868245,0.035608893,72844
Kdelr3,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3,1414,15,79516407,79527739,-2.61,-4.31,-3.174,-4.31,-1.977,0.172,0.738,-0.313,-0.639,-0.766,0.265,0.60660317,0.728932708,-4.185,-0.766,14.877,0.000114737,0.000754472,-3.547,-0.766,17.943,2.27642317122823e-05,0.000446025,105785
Mag,myelin-associated glycoprotein,4072,7,30899175,30914873,-2.61,-3.201,-2.11,-2.804,-1.128,3.061,2.655,1.265,-1.366,1.207,1.633,0.201232285,0.341091674,-5.929,1.207,31.531,1.96242736447792e-08,4.37947110682718e-07,-4.562,1.207,34.157,5.08284588445533e-09,2.3885243261912e-07,17136
Mertk,c-mer proto-oncogene tyrosine kinase,4336,2,128698955,128802894,-2.61,-4.31,3.938,-2.083,-1.977,5.114,3.122,4.218,-6.366,3.286,8.865,0.002907066,0.016644718,-8.346,3.286,12.911,0.000326676,0.001768602,-1.98,3.286,1.96,0.161496779,0.482152103,17289
Morn4,MORN repeat containing 4,1816,19,42074938,42086370,-2.61,-2.15,-2.11,-3.368,0.039,0.53,-0.047,0.321,-1.472,-0.444,1.766,0.183816477,0.319440541,-2.966,-0.444,6.909,0.008574335,0.024960793,-1.493,-0.444,3,0.083277591,0.332420218,226123
Nat8l,N-acetyltransferase 8-like,6529,5,33995983,34005916,-2.61,-1.549,-0.064,-2.399,-1.411,1.297,0.299,0.869,-1.115,-0.023,1.475,0.224501955,0.368276231,-3.102,-0.023,11.448,0.000715547,0.003377592,-1.987,-0.023,7.738,0.005407604,0.045897141,269642
Ndrg4,N-myc downstream regulated gene 4,4887,8,95676979,95715119,-2.61,-2.582,0.024,-3.368,-2.229,2.123,0.738,0.371,-1.673,0.197,1.845,0.174376952,0.307849353,-4.298,0.197,10.954,0.000934057,0.004180293,-2.625,0.197,7.218,0.007217238,0.057779487,234593
Ninl,ninein-like,5952,2,150934518,151039382,-2.61,-1.549,-1.277,-1.824,-0.019,0.251,-0.913,0.038,-1.334,-0.573,2.24,0.134465478,0.255894327,-2.057,-0.573,5.365,0.020542816,0.050430018,-0.723,-0.573,1.104,0.293425645,0.647362649,78177
Nkg7,natural killer cell group 7 sequence,878,7,43437072,43438246,-2.61,-1.818,-3.174,-4.31,-3.456,0.465,0.66,0.6,2.223,-0.507,4.164,0.041294248,0.109612287,-3.018,-0.507,16.97,3.79665824008586e-05,0.00029655,-5.241,-0.507,45.193,1.78570216591357e-11,1.47447978842577e-09,72310
Ociad2,OCIA domain containing 2,2509,5,73322198,73338947,-2.61,-4.31,-0.752,-3.368,-2.229,1.472,2.28,1.618,-1.949,0.627,2.802,0.094159686,0.198158743,-5.794,0.627,26.837,2.21401129286002e-07,3.62520829255833e-06,-3.845,0.627,23.786,1.07672923587269e-06,3.0284647120896e-05,433904
Olfm1,olfactomedin 1,3553,2,28192991,28230736,-2.61,-2.15,-0.064,-3.368,-4.31,1.536,-0.799,-1.017,-1.069,-0.519,0.479,0.489058082,0.630268833,-3.081,-0.519,3.526,0.060400131,0.119805338,-2.012,-0.519,2.331,0.126810583,0.426051516,56177
Pam,peptidylglycine alpha-amidating monooxygenase,7998,1,97795113,98095646,-2.61,-2.15,-0.752,-1.604,-1.977,0.465,0.137,-0.395,-1.167,-0.628,1.864,0.1721909,0.305155113,-2.775,-0.628,12.002,0.000531475,0.00264707,-1.608,-0.628,7.121,0.007618927,0.060119311,18484
Pid1,phosphotyrosine interaction domain containing 1,7024,1,84036295,84364180,-2.61,-2.582,-0.064,-2.399,-3.456,1.404,0.445,0.371,-1.548,-0.163,1.697,0.192658914,0.330472773,-3.823,-0.163,9.795,0.00175016,0.006933463,-2.275,-0.163,6.03,0.014062805,0.095179169,98496
Pilra,paired immunoglobin-like type 2 receptor alpha,3077,5,137821951,137836268,-2.61,-2.582,2.456,-3.368,-2.535,3.792,2.869,3.289,-3.943,2.22,5.304,0.021274795,0.06788204,-6.403,2.22,11.19,0.000822331,0.003781285,-2.461,2.22,3.574,0.058686927,0.267621649,231805
Pilrb2,paired immunoglobin-like type 2 receptor beta 2,1807,5,137865828,137871758,-2.61,-2.582,1.267,-3.368,-2.923,2.784,1.575,1.343,-2.764,0.958,3.266,0.070734411,0.161152896,-5.074,0.958,9.13,0.002514789,0.009273034,-2.311,0.958,3.65,0.056085816,0.259756422,545812
Pld1,phospholipase D1,8537,3,27938694,28133362,-2.61,-4.31,-1.776,-2.804,-2.535,1.098,0.299,0.321,-1.263,-0.465,1.278,0.258202116,0.406927943,-4.543,-0.465,23.332,1.36327500432211e-06,1.72360346646641e-05,-3.28,-0.465,23.327,1.36686985295223e-06,3.74431646922458e-05,18805
Plscr4,phospholipid scramblase 4,3590,9,92457372,92492456,-2.61,-3.201,0.332,-0.335,-0.019,1.897,2.025,1.699,-3.377,0.89,18.896,1.38040895345059e-05,0.000319762,-5.297,0.89,52.676,3.9345908359647e-13,2.54099832758391e-11,-1.92,0.89,19.103,1.23866516650328e-05,0.000263701,235527
Prr5l,proline rich 5 like,4967,2,101714284,101883027,-2.61,-2.582,-1.08,-3.368,-1.128,2.744,2.78,1.618,-1.286,1.202,1.714,0.190429636,0.327779421,-5.502,1.202,31.92,1.60681602739461e-08,3.71495865533634e-07,-4.216,1.202,33.555,6.92752223206411e-09,3.1404767452024e-07,72446
Ptgis,prostaglandin I2 (prostacyclin) synthase,2567,2,167191804,167240604,-2.61,-3.201,0.943,-4.31,-4.31,1.847,0.811,0.833,-2.756,0.271,2.071,0.150147142,0.27709675,-4.659,0.271,4.998,0.025370798,0.059903273,-1.903,0.271,1.563,0.211239853,0.555160372,19223
Pvrl4,poliovirus receptor-related 4,3746,1,171370098,171388598,-2.61,-1.125,0.107,-2.399,-1.262,1.991,1.161,0.759,-0.926,0.391,0.949,0.330026269,0.482987967,-3.278,0.391,11.145,0.000842759,0.003849318,-2.352,0.391,9.076,0.002590428,0.026011723,NA
Qpct,glutaminyl-peptide cyclotransferase (glutaminyl cyclase),1924,17,79051905,79090243,-2.61,-4.31,-2.546,-2.804,-0.892,0.089,0.247,0.42,-1.972,-0.632,3.173,0.074848833,0.167814685,-4.181,-0.632,16.376,5.19445567692591e-05,0.00038866,-2.21,-0.632,9.811,0.001734768,0.018759508,70536
Raet1e,retinoic acid early transcript 1E,2159,10,22158568,22374139,-2.61,-3.201,0.024,-0.834,2.35,-1.216,-1.322,-1.659,-4.568,0.141,13.118,0.000292443,0.003130225,-1.867,0.141,2.343,0.125853551,0.211946002,2.701,0.141,8.601,0.003359903,0.031967468,379043
Rai2,retinoic acid induced 2,2403,X,161717068,161779496,-2.61,-4.31,-2.546,-4.31,-4.31,1.598,1.596,0.42,0.683,0.047,0.242,0.622545961,0.741462117,-5.246,0.047,23.908,1.01053272494608e-06,1.32596575486682e-05,-5.928,0.047,39.387,3.47539921570981e-10,2.24444776165394e-08,24004
Rhoc,ras homolog family member C,1292,3,104789010,104794459,-2.61,-4.31,-0.752,-2.399,-2.923,0.172,0.491,-0.395,-1.963,-0.728,2.856,0.091033613,0.193091479,-4.05,-0.728,13.588,0.000227591,0.001318111,-2.086,-0.728,7.372,0.006624909,0.054084711,11853
Rnf125,ring finger protein 125,1334,18,20944624,20983848,-2.61,-2.582,-0.612,-0.514,1.387,0.867,1.295,0.099,-3.412,0.356,11.216,0.000810919,0.006724691,-3.842,0.356,14.01,0.000181831,0.001095914,-0.429,0.356,0.378,0.538767998,0.815203934,67664
RP23-76P9.1,,255,1,84990637,84993032,-2.61,-1.818,-0.752,-2.804,-1.411,2.631,1.637,0.759,-0.839,0.677,0.736,0.391057255,0.541716221,-4.332,0.677,18.755,1.48640795336372e-05,0.000134395,-3.492,0.677,19.814,8.5362562169395e-06,0.000190646,NA
Sash1,SAM and SH3 domain containing 1,7183,10,8722218,8886070,-2.61,-2.582,3.206,-1.604,-1.576,4.436,2.319,3.092,-4.741,2.505,8.027,0.004609001,0.023125023,-6.588,2.505,13.147,0.000288006,0.001596812,-1.847,2.505,2.396,0.121656324,0.417313681,70097
Sh3pxd2b,SH3 and PX domains 2B,9709,11,32347819,32428173,-2.61,-4.31,-0.612,-4.31,-1.005,3.805,3.624,3.235,-2.466,2.231,4.562,0.032680724,0.092630167,-7.544,2.231,39.695,2.96825552635308e-10,1.09977672707185e-08,-5.078,2.231,37.504,9.12378251360252e-10,5.30004652548971e-08,268396
